x,y,z
-52.429429,-0.286690,-89.941134
-49.357982,2.596945,-92.611931
-45.548161,5.323161,-94.323145
-41.237829,7.716687,-95.106786
-36.669040,9.735027,-95.253377
-31.968465,11.431390,-95.118578
-27.184382,12.879812,-95.040788
-22.360434,14.148411,-95.350353
-17.582643,15.387256,-96.139205
-12.933196,16.838251,-97.261746
-8.473311,18.693025,-98.546940
-4.160631,20.886608,-99.804174
0.096363,23.289382,-100.850717
4.383533,25.742063,-101.626324
8.781974,27.944137,-102.507477
13.288792,29.488388,-103.984468
17.763488,30.246116,-106.075762
22.333668,30.824926,-108.011033
27.114105,31.852363,-108.959299
31.906412,33.253257,-108.807351
36.747729,34.351662,-108.244317
41.716143,34.455126,-107.832672
46.554042,33.346492,-107.349091
50.905289,31.224726,-106.170883
54.526153,28.465857,-104.124837
57.567207,25.335799,-101.690565
60.245032,21.911222,-99.223343
62.730534,18.173082,-97.027608
64.991404,14.048671,-95.347073
66.746218,9.496007,-94.295991
67.714576,4.615869,-93.909005
67.983364,-0.371802,-94.026712
67.849286,-5.353179,-94.424755
67.542210,-10.317466,-94.935491
67.249031,-15.284791,-95.423424
67.152334,-20.272291,-95.743508
67.358378,-25.258467,-95.553797
67.869740,-30.059062,-94.314998
68.588293,-34.317076,-91.822091
69.323243,-37.867055,-88.393766
69.892752,-40.541820,-84.223773
70.145488,-42.103408,-79.494000
70.141143,-42.694800,-74.534793
70.011360,-42.694599,-69.537867
69.873864,-42.462188,-64.545240
69.829604,-42.301594,-59.548583
69.932458,-42.394249,-54.551035
70.108630,-42.616973,-49.559131
70.259559,-42.788118,-44.564576
70.277548,-42.709208,-39.566624
70.039252,-42.153795,-34.607223
69.431945,-40.909238,-29.809345
68.564657,-39.049822,-25.252446
67.688817,-36.824789,-20.862168
67.030776,-34.439034,-16.518714
66.820057,-32.087079,-12.114812
67.295703,-29.997441,-7.604813
68.613569,-28.415378,-3.058155
70.727973,-27.534684,1.373933
73.607037,-27.651288,5.436292
77.075858,-28.975170,8.761972
80.736870,-31.023279,11.477120
84.401961,-33.291706,14.011022
87.992972,-35.454816,16.734112
91.437052,-37.445287,19.761037
94.648605,-39.265010,23.130664
97.519390,-40.905328,26.877479
99.916165,-42.347213,31.016930
101.691798,-43.564333,35.523773
102.729749,-44.530310,40.312473
103.073950,-45.194075,45.251844
102.837832,-45.479442,50.234196
102.096833,-45.290074,55.170933
100.899076,-44.493089,59.953220
99.287300,-42.914846,64.405188
97.343723,-40.528488,68.336161
95.183069,-37.555772,71.720225
92.894120,-34.216435,74.651034
90.528152,-30.668738,77.260328
88.110651,-27.020505,79.677807
85.653395,-23.352687,82.024897
83.143879,-19.749132,84.415236
80.408587,-16.391580,86.909479
77.200941,-13.586097,89.510457
73.393757,-11.705717,92.127985
69.192971,-10.606912,94.601392
64.822051,-9.709373,96.855933
60.402093,-8.487149,98.839444
56.073611,-6.624975,100.497266
51.973794,-4.100882,101.827102
48.243967,-0.938723,102.843594
45.022437,2.807047,103.573199
42.428628,7.047616,104.053597
40.536526,11.662197,104.327812
38.682782,16.289207,104.192634
35.074361,19.351122,102.929076
30.467975,20.249509,101.258385
25.723374,20.619269,99.728718
21.087583,21.859149,98.365402
16.677152,23.897413,97.197367
12.475924,26.364848,96.080191
8.479391,29.094357,94.828514
4.688128,31.947196,93.257188
1.135081,34.771240,91.168805
-2.090539,37.363761,88.376009
-4.876208,39.508866,84.830438
-7.400851,41.315384,80.911708
-10.020604,43.064992,77.030484
-13.096198,45.018718,73.618779
-16.904981,47.020373,71.103547
-21.539846,48.307525,69.875885
-26.506944,48.198630,70.096822
-31.265903,47.002259,71.012954
-35.722350,44.967844,71.976879
-39.771665,42.106879,72.558361
-43.395895,38.676936,72.832582
-46.818611,35.040591,73.077847
-50.266640,31.447273,73.518929
-53.697766,27.869917,74.171666
-57.013278,24.226025,75.021890
-60.106473,20.432461,76.037348
-62.911720,16.398446,76.951076
-65.368536,12.069713,77.355677
-67.408843,7.522363,77.027924
-69.042198,2.871139,76.206527
-70.306087,-1.848035,75.148283
-71.224340,-6.641983,74.069421
-71.794257,-11.528737,73.189371
-71.976685,-16.500162,72.717695
-71.690265,-21.478511,72.384275
-70.918791,-26.363605,71.680248
-70.002738,-31.133728,70.500132
-69.733218,-35.924243,69.133847
-71.205960,-40.515908,67.987946
-74.329701,-44.311572,67.169292
-78.175396,-47.383835,66.318065
-82.259612,-49.982937,65.082774
-86.428614,-52.102534,63.328005
-90.679347,-53.555448,61.146190
-94.975701,-54.179151,58.679194
-99.196635,-54.026028,56.011549
-103.214331,-53.279344,53.135891
-106.932807,-52.091286,50.016005
-110.249971,-50.586581,46.595536
-113.023981,-48.885241,42.805869
-115.043922,-47.134026,38.590255
-116.068966,-45.527704,33.978799
-116.176279,-44.199749,29.165795
-115.647302,-43.188057,24.300899
-114.739444,-42.496686,19.434368
-113.659499,-42.129127,14.567239
-112.584222,-42.091946,9.685281
-111.668741,-42.241995,4.772619
-111.078890,-42.287181,-0.190054
-111.048178,-41.856418,-5.163074
-111.857254,-40.513663,-9.890310
-113.574099,-38.079339,-13.879865
-115.867046,-34.895914,-16.963772
-118.450044,-31.266174,-19.217300
-121.178120,-27.301052,-20.532471
-123.882372,-23.117039,-20.557000
-126.331507,-19.010039,-19.153677
-128.387587,-15.236601,-16.616800
-130.062256,-11.792613,-13.406293
-131.410183,-8.332970,-10.059679
-132.415897,-4.414095,-7.140641
-132.934516,0.280964,-5.614088
-133.095949,5.270859,-5.489834
-133.322192,10.262130,-5.651297
-133.910471,15.220167,-5.434658
-134.941183,20.099629,-5.106389
-136.482605,24.850487,-5.123283
-138.587063,29.357129,-5.591232
-141.258887,33.538371,-6.175682
-144.463873,37.353494,-6.536937
-148.113531,40.765150,-6.636835
-152.129650,43.738939,-6.645720
-156.463257,46.225170,-6.725242
-161.065869,48.140634,-7.042394
-165.850641,49.361073,-7.780020
-170.651337,49.747466,-9.087326
-175.308237,49.162603,-10.781426
-179.651792,47.387746,-12.458707
-183.301848,44.209873,-13.585272
-185.742214,39.883820,-13.653446
-186.906585,35.140215,-12.668336
-187.071142,33.583120,-12.173677
